C:\Users\2213226\Documents\comprasv3> python.exe .\main.py
11:45:42 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
11:45:42 | INFO     | ============================================================
[11:54:41] ✅ DONE | RT | PNCP-CONCORRENCIA | 2021
[11:54:41] ✅ DONE | RT | PNCP-PREGAO       | 2021
[11:54:41] ✅ DONE | RT | PNCP-INEXIGIBILIDADE | 2021
[11:54:42] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:42] ✅ DONE | RT | PNCP-CONCORRENCIA | 2022
[11:54:42] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:42] ✅ DONE | RT | PNCP-PREGAO       | 2022
[11:54:42] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:42] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:42] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:42] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:43] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:43] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:43] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:43] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:43] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:43] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:43] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:43] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:43] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:44] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:44] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:44] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:44] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:44] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:44] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:44] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:44] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:44] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:45] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:45] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:45] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:45] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:45] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:45] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:45] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:45] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:45] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:46] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:46] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:54:46] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:54:46] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:55:03] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:55:03] ✅ DONE | RT | PNCP-DISPENSA     | 2022
[11:55:03] ✅ DONE | RT | PNCP-DISPENSA     | 2021
[11:55:03] ✅ DONE | RT | PNCP-DISPENSA     | 2022
