arquivo_origem;data_extracao;numero_ata;uasg_gerenciadora;numero_item;codigo_pdm;descricao_item;fornecedor_cnpj;fornecedor_nome;codigo_unidade;nome_unidade;tipo_unidade;sigla_unidade;aceita_adesao;quantidade_registrada;saldo_adesoes;saldo_remanejamento_empenho;qtd_limite_adesao;qtd_limite_informado_compra;quantidade_empenhada;data_inclusao;data_atualizacao;data_exclusao
atas_unidades_RT_00001_2023_00003_p1.json;2026-02-20 11:07:55;00001/2023;158132;00003;;Agenciamento de Viagens- Repasse - emissão de passagens aéreas Internacionais;26722189000110;CERRADO VIAGENS LTDA;130083;SUPERINT.DE AGRICULTURA E PECUARIA - SFA/RO;PARTICIPANTE;;Sim;10,00;1414,00;10,00;2482,00;2482,00;;06/11/2023;06/11/2023;
atas_unidades_RT_00001_2023_00003_p1.json;2026-02-20 11:07:55;00001/2023;158132;00003;;Agenciamento de Viagens- Repasse - emissão de passagens aéreas Internacionais;26722189000110;CERRADO VIAGENS LTDA;154040;FUNDACAO UNIVERSIDADE DE BRASILIA - FUB/DF;PARTICIPANTE;;Sim;600,00;1414,00;599,00;2482,00;2482,00;;06/11/2023;26/01/2024;
atas_unidades_RT_00001_2023_00003_p1.json;2026-02-20 11:07:55;00001/2023;158132;00003;;Agenciamento de Viagens- Repasse - emissão de passagens aéreas Internacionais;26722189000110;CERRADO VIAGENS LTDA;154628;INST.FEDERAL FARROUPILHA CAMPUS JAGUARI;PARTICIPANTE;;Sim;2,00;1414,00;2,00;2482,00;2482,00;;06/11/2023;17/06/2024;
atas_unidades_RT_00001_2023_00003_p1.json;2026-02-20 11:07:55;00001/2023;158132;00003;;Agenciamento de Viagens- Repasse - emissão de passagens aéreas Internacionais;26722189000110;CERRADO VIAGENS LTDA;154773;INST.FED.SUL-RIO-GRANDENSE/SANT.DO LIVRAMENTO;PARTICIPANTE;;Sim;15,00;1414,00;15,00;2482,00;2482,00;;06/11/2023;09/09/2025;
atas_unidades_RT_00001_2023_00003_p1.json;2026-02-20 11:07:55;00001/2023;158132;00003;;Agenciamento de Viagens- Repasse - emissão de passagens aéreas Internacionais;26722189000110;CERRADO VIAGENS LTDA;154856;INST.FED.DO MARANHAO/CAMPUS VIANA;PARTICIPANTE;;Sim;4,00;1414,00;4,00;2482,00;2482,00;;06/11/2023;06/11/2023;
atas_unidades_RT_00001_2023_00003_p1.json;2026-02-20 11:07:55;00001/2023;158132;00003;;Agenciamento de Viagens- Repasse - emissão de passagens aéreas Internacionais;26722189000110;CERRADO VIAGENS LTDA;158122;INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS;PARTICIPANTE;;Sim;120,00;1414,00;120,00;2482,00;2482,00;;06/11/2023;01/08/2024;
atas_unidades_RT_00001_2023_00003_p1.json;2026-02-20 11:07:55;00001/2023;158132;00003;;Agenciamento de Viagens- Repasse - emissão de passagens aéreas Internacionais;26722189000110;CERRADO VIAGENS LTDA;158125;INSTITUTO FEDERAL CATARINENSE - REITORIA;PARTICIPANTE;;Sim;120,00;1414,00;120,00;2482,00;2482,00;;06/11/2023;11/07/2024;
atas_unidades_RT_00001_2023_00003_p1.json;2026-02-20 11:07:55;00001/2023;158132;00003;;Agenciamento de Viagens- Repasse - emissão de passagens aéreas Internacionais;26722189000110;CERRADO VIAGENS LTDA;158127;INST.FED.DE EDUC.,CIENC.E TEC.FARROUPILHA;PARTICIPANTE;;Sim;30,00;1414,00;28,00;2482,00;2482,00;;06/11/2023;22/07/2025;
atas_unidades_RT_00001_2023_00003_p1.json;2026-02-20 11:07:55;00001/2023;158132;00003;;Agenciamento de Viagens- Repasse - emissão de passagens aéreas Internacionais;26722189000110;CERRADO VIAGENS LTDA;158128;INST.FED.DE EDUC.,CIENC.E TEC.DO MARANHAO;PARTICIPANTE;;Sim;106,00;1414,00;0,00;2482,00;2482,00;;06/11/2023;27/05/2025;
atas_unidades_RT_00001_2023_00003_p1.json;2026-02-20 11:07:55;00001/2023;158132;00003;;Agenciamento de Viagens- Repasse - emissão de passagens aéreas Internacionais;26722189000110;CERRADO VIAGENS LTDA;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;GERENCIADORA;RT;Sim;33,00;1414,00;28,00;2482,00;2482,00;;06/11/2023;22/11/2023;
