14:27:37 | INFO     | ============================================================
14:27:37 | INFO     | 🏢 EXTRAINDO UNIDADES PARTICIPANTES DAS ATAS...
14:27:37 | INFO     | UASG        : RT (158132)
14:27:37 | INFO     | A extrair   : 1308
14:27:37 | INFO     | 🚀 INICIANDO EXTRAÇÃO DE UNIDADES | WORKERS: 3 | TOTAL: 1308
14:29:30 | INFO     | [14:29:30] ✅ DONE | 00008/2024 | item 00025 | 193/1308 (14.8%) | Falhas: 0
14:29:31 | INFO     | [14:29:31] ✅ DONE | 00009/2024 | item 00012 | 194/1308 (14.8%) | Falhas: 0
14:29:31 | INFO     | [14:29:31] ✅ DONE | 00009/2024 | item 00013 | 195/1308 (14.9%) | Falhas: 0
14:29:31 | INFO     | [14:29:31] ✅ DONE | 00009/2024 | item 00016 | 196/1308 (15.0%) | Falhas: 0
14:29:47 | INFO     | [14:29:47] ✅ DONE | 00009/2024 | item 00017 | 197/1308 (15.1%) | Falhas: 0
14:29:48 | INFO     | [14:29:48] ✅ DONE | 00010/2024 | item 00001 | 198/1308 (15.1%) | Falhas: 0
14:29:48 | INFO     | [14:29:48] ✅ DONE | 00010/2024 | item 00002 | 199/1308 (15.2%) | Falhas: 0
14:29:49 | INFO     | [14:29:49] ✅ DONE | 00010/2024 | item 00003 | 200/1308 (15.3%) | Falhas: 0
14:29:49 | INFO     | [14:29:49] ✅ DONE | 00010/2024 | item 00004 | 201/1308 (15.4%) | Falhas: 0
14:29:50 | INFO     | [14:29:50] ✅ DONE | 00010/2024 | item 00005 | 202/1308 (15.4%) | Falhas: 0
14:29:50 | INFO     | [14:29:50] ✅ DONE | 00010/2024 | item 00006 | 203/1308 (15.5%) | Falhas: 0
14:30:06 | INFO     | [14:30:06] ✅ DONE | 00010/2024 | item 00007 | 204/1308 (15.6%) | Falhas: 0
14:30:06 | INFO     | [14:30:06] ✅ DONE | 00010/2024 | item 00009 | 205/1308 (15.7%) | Falhas: 0
14:30:06 | INFO     | [14:30:06] ✅ DONE | 00010/2024 | item 00010 | 206/1308 (15.7%) | Falhas: 0
14:30:07 | INFO     | [14:30:07] ✅ DONE | 00010/2024 | item 00008 | 207/1308 (15.8%) | Falhas: 0
14:30:07 | INFO     | [14:30:07] ✅ DONE | 00010/2024 | item 00011 | 208/1308 (15.9%) | Falhas: 0
